@relation bank-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-V-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute age numeric
@attribute job {unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown}
@attribute marital {married,single,divorced}
@attribute education {primary,secondary,tertiary,unknown}
@attribute default {no,yes}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact {cellular,unknown,telephone}
@attribute day numeric
@attribute month {oct,may,apr,jun,feb,aug,jan,jul,nov,sep,mar,dec}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute y {no,yes}

@data
48,technician,single,tertiary,no,-551,yes,no,cellular,11,may,168,2,-1,0,no
28,blue-collar,single,secondary,no,56,yes,no,unknown,23,may,66,1,-1,0,no
38,technician,married,tertiary,no,1161,yes,no,unknown,8,may,665,1,-1,0,no
46,blue-collar,married,secondary,no,4855,yes,no,cellular,10,aug,1529,1,397,1,no
35,blue-collar,married,primary,no,3587,yes,no,unknown,30,may,148,4,-1,0,no
37,blue-collar,married,secondary,no,346,yes,no,cellular,17,apr,390,1,316,1,no
44,management,divorced,tertiary,no,-710,yes,no,cellular,10,jul,183,1,-1,0,no
35,management,single,tertiary,no,252,yes,no,cellular,8,aug,89,2,-1,0,no
47,self-employed,married,secondary,no,1121,no,no,unknown,20,jun,454,6,-1,0,no
54,services,married,secondary,no,88,yes,no,unknown,13,may,190,1,-1,0,no
42,blue-collar,married,secondary,no,2157,yes,no,cellular,13,may,149,1,364,2,no
53,retired,married,secondary,no,6095,yes,yes,cellular,14,may,410,5,-1,0,no
28,management,single,tertiary,no,-328,yes,no,telephone,2,feb,318,2,-1,0,no
59,retired,married,unknown,no,0,no,no,unknown,8,may,425,6,-1,0,no
49,services,married,secondary,no,1114,no,no,cellular,17,nov,283,1,-1,0,no
57,blue-collar,married,primary,no,1592,no,yes,unknown,20,jun,78,4,-1,0,no
42,management,married,tertiary,no,520,no,no,cellular,4,nov,158,1,-1,0,no
57,services,married,tertiary,no,10,no,no,telephone,8,jul,320,3,-1,0,no
34,blue-collar,married,secondary,no,1221,yes,no,cellular,6,may,182,1,90,8,no
28,blue-collar,single,secondary,no,6307,yes,no,unknown,28,may,615,1,-1,0,no
53,management,divorced,secondary,no,112,no,yes,cellular,11,aug,246,3,-1,0,no
37,technician,single,secondary,no,435,yes,no,unknown,26,may,210,1,-1,0,no
35,services,married,secondary,no,0,no,yes,telephone,9,jul,42,1,-1,0,no
33,admin.,single,tertiary,no,621,no,no,cellular,8,jul,217,1,-1,0,no
37,management,married,primary,no,22856,no,no,cellular,2,jul,154,1,388,1,no
37,self-employed,married,tertiary,no,0,no,no,unknown,6,jun,143,1,-1,0,no
37,blue-collar,married,secondary,no,685,yes,no,unknown,6,jun,968,1,-1,0,no
59,blue-collar,married,secondary,no,5314,yes,no,cellular,5,may,200,3,-1,0,no
58,blue-collar,married,secondary,no,602,yes,no,cellular,13,may,201,1,-1,0,no
52,management,married,secondary,no,-588,yes,no,cellular,22,jul,81,4,-1,0,no
48,blue-collar,married,secondary,no,1159,yes,yes,cellular,15,may,1181,9,-1,0,no
52,self-employed,married,secondary,no,9,no,yes,unknown,6,jun,44,1,-1,0,no
45,technician,married,primary,no,-322,no,no,unknown,9,jun,225,2,-1,0,no
47,entrepreneur,married,tertiary,no,459,yes,no,cellular,29,jul,189,4,-1,0,no
54,unknown,married,secondary,no,1157,no,no,cellular,26,may,98,2,-1,0,no
54,technician,divorced,secondary,no,1114,yes,no,cellular,30,jan,81,1,-1,0,no
52,services,married,secondary,no,2072,no,no,cellular,10,jul,224,1,-1,0,no
31,blue-collar,single,primary,no,-280,no,no,unknown,21,may,281,3,-1,0,no
34,technician,single,tertiary,no,9851,yes,no,cellular,20,nov,128,5,-1,0,no
46,management,divorced,secondary,no,-852,no,yes,cellular,29,aug,728,2,-1,0,no
31,management,married,secondary,no,1368,yes,no,cellular,12,aug,129,4,-1,0,no
27,blue-collar,single,primary,no,-179,yes,no,cellular,15,may,54,2,-1,0,no
48,services,single,unknown,no,5095,yes,no,unknown,16,jun,71,1,-1,0,no
39,technician,married,secondary,no,994,no,no,cellular,5,feb,221,1,241,1,no
36,entrepreneur,married,tertiary,no,6,no,no,telephone,30,oct,246,1,-1,0,no
34,management,married,tertiary,no,1657,yes,no,cellular,18,may,566,2,356,4,no
27,technician,married,secondary,no,7,yes,no,unknown,15,may,98,2,-1,0,no
34,management,married,tertiary,no,133,yes,no,unknown,8,may,65,1,-1,0,no
34,blue-collar,married,secondary,no,247,yes,yes,unknown,26,may,193,5,-1,0,no
42,technician,single,secondary,no,0,no,no,cellular,21,aug,656,2,-1,0,no
23,blue-collar,single,primary,no,8627,yes,no,unknown,3,jun,281,1,-1,0,no
26,unemployed,single,secondary,no,461,no,no,cellular,28,jan,214,1,-1,0,no
34,blue-collar,married,secondary,no,8309,yes,yes,cellular,19,nov,50,1,-1,0,no
39,technician,single,tertiary,no,1043,no,no,cellular,18,aug,195,10,-1,0,no
35,technician,married,secondary,no,1067,no,yes,cellular,12,aug,179,6,-1,0,no
37,technician,single,secondary,no,61,yes,no,unknown,19,may,182,8,-1,0,no
47,blue-collar,married,secondary,no,1203,yes,no,cellular,17,apr,239,2,-1,0,no
48,management,married,primary,no,3230,yes,no,telephone,20,nov,207,3,-1,0,no
54,housemaid,divorced,secondary,no,1327,no,no,unknown,5,jun,115,2,-1,0,no
55,services,married,secondary,no,557,no,no,unknown,19,jun,58,1,-1,0,no
40,self-employed,married,secondary,no,167,yes,yes,cellular,8,may,380,4,295,1,no
47,blue-collar,married,primary,no,881,yes,no,cellular,14,may,143,1,370,2,no
36,management,married,tertiary,no,1582,no,no,telephone,3,feb,26,2,197,1,no
38,retired,single,unknown,no,62,no,no,unknown,19,jun,212,1,-1,0,no
30,admin.,married,secondary,no,2678,yes,no,cellular,18,may,23,5,-1,0,no
38,admin.,married,tertiary,no,1980,no,no,cellular,5,aug,176,2,-1,0,no
29,self-employed,married,tertiary,no,3931,yes,no,unknown,3,jun,73,4,-1,0,no
33,technician,married,secondary,no,58,yes,no,telephone,29,aug,57,2,-1,0,no
37,management,married,tertiary,no,489,yes,no,cellular,7,aug,205,5,-1,0,no
44,technician,single,tertiary,no,900,yes,no,cellular,29,jan,322,2,-1,0,no
23,blue-collar,single,primary,no,8627,yes,no,cellular,15,may,169,1,346,1,no
31,management,single,tertiary,no,2590,no,no,cellular,23,sep,103,2,484,2,no
31,management,single,tertiary,no,385,yes,no,unknown,21,may,304,1,-1,0,no
33,technician,married,secondary,no,9305,yes,no,cellular,17,apr,407,2,-1,0,no
31,technician,single,secondary,no,35,no,yes,cellular,16,jul,229,1,-1,0,no
43,entrepreneur,married,tertiary,no,1574,yes,no,cellular,19,nov,167,3,-1,0,no
25,services,single,secondary,no,368,no,no,telephone,25,jul,168,1,-1,0,no
36,management,single,tertiary,no,0,no,no,cellular,11,aug,108,2,-1,0,no
34,blue-collar,married,secondary,no,516,yes,yes,unknown,2,jun,26,1,-1,0,no
28,admin.,single,secondary,no,775,no,no,cellular,29,jan,603,2,-1,0,no
40,technician,married,secondary,no,2715,yes,no,unknown,29,may,125,2,-1,0,no
32,technician,single,tertiary,no,1100,yes,yes,cellular,11,aug,67,1,-1,0,no
40,entrepreneur,married,secondary,no,1532,yes,yes,cellular,18,nov,173,7,-1,0,no
44,blue-collar,married,secondary,no,1910,yes,no,unknown,5,jun,41,1,-1,0,no
32,blue-collar,married,secondary,no,478,yes,no,unknown,3,jun,200,1,-1,0,no
54,services,married,unknown,no,7864,yes,no,unknown,15,may,145,4,-1,0,no
43,management,married,tertiary,no,2886,no,no,cellular,20,nov,230,1,-1,0,no
34,management,married,tertiary,no,1116,yes,no,cellular,25,jul,53,5,-1,0,no
30,blue-collar,single,secondary,no,648,yes,yes,unknown,8,may,287,1,-1,0,no
57,entrepreneur,divorced,secondary,yes,25,yes,no,cellular,11,may,652,1,370,4,no
38,technician,married,secondary,no,1960,yes,no,cellular,21,aug,161,2,-1,0,no
27,blue-collar,married,secondary,no,818,yes,no,unknown,3,jun,188,5,-1,0,no
57,blue-collar,married,primary,no,179,no,no,unknown,9,jun,230,3,-1,0,no
57,retired,married,primary,no,75,no,no,cellular,28,aug,118,2,-1,0,no
29,technician,single,secondary,no,103,no,no,unknown,19,may,314,1,-1,0,no
37,technician,single,secondary,no,267,no,no,cellular,13,may,121,1,-1,0,no
34,technician,single,tertiary,no,586,yes,no,unknown,16,may,489,2,-1,0,no
34,blue-collar,married,secondary,no,470,yes,yes,cellular,20,apr,217,1,-1,0,no
40,technician,married,secondary,no,990,yes,no,cellular,6,feb,252,3,-1,0,no
25,unemployed,married,secondary,no,157,yes,no,cellular,28,jul,33,31,-1,0,no
33,blue-collar,single,secondary,no,5739,yes,yes,cellular,21,nov,374,1,-1,0,no
50,services,married,secondary,no,60,no,yes,cellular,27,aug,151,8,-1,0,no
54,management,married,tertiary,no,2819,no,no,cellular,7,aug,123,3,-1,0,no
30,blue-collar,married,primary,no,-518,yes,yes,unknown,28,may,244,6,-1,0,no
49,admin.,married,secondary,no,13229,no,yes,telephone,8,jul,77,2,-1,0,no
41,blue-collar,married,primary,no,-204,yes,yes,unknown,6,jun,42,1,-1,0,no
41,technician,married,tertiary,no,177,yes,no,telephone,11,jul,117,2,-1,0,no
53,admin.,divorced,secondary,no,0,yes,yes,cellular,30,apr,586,2,-1,0,no
32,entrepreneur,married,primary,no,795,no,no,cellular,8,aug,131,3,-1,0,no
43,technician,single,secondary,no,34,no,no,telephone,30,jul,29,1,-1,0,no
32,blue-collar,single,secondary,no,53,yes,no,cellular,18,nov,276,1,195,1,no
27,management,single,tertiary,no,390,no,no,cellular,28,oct,190,1,82,1,no
51,management,married,unknown,no,712,no,no,cellular,13,aug,287,2,-1,0,no
48,technician,married,secondary,no,5,no,no,unknown,9,jun,65,6,-1,0,no
27,technician,single,secondary,no,15,yes,no,cellular,25,jul,67,3,-1,0,no
39,management,single,tertiary,yes,-401,yes,no,cellular,19,aug,274,4,-1,0,no
32,blue-collar,single,secondary,no,2285,yes,no,unknown,14,may,413,2,-1,0,no
34,management,married,tertiary,no,1518,yes,no,cellular,20,nov,128,2,-1,0,no
39,management,single,tertiary,no,3797,no,no,cellular,2,jun,96,2,-1,0,no
29,admin.,married,secondary,no,22171,yes,no,cellular,18,may,44,1,355,3,no
33,blue-collar,married,secondary,no,331,yes,no,cellular,14,may,178,7,365,5,no
32,services,married,secondary,no,132,yes,yes,unknown,19,may,343,2,-1,0,no
30,services,married,secondary,no,0,yes,no,unknown,9,may,20,1,-1,0,no
38,admin.,divorced,tertiary,no,86,yes,no,unknown,6,may,218,1,-1,0,no
54,blue-collar,married,primary,no,2281,yes,no,unknown,20,jun,158,1,-1,0,no
55,management,divorced,tertiary,no,481,yes,no,telephone,8,may,147,2,298,3,no
32,management,single,tertiary,no,11797,yes,no,cellular,11,aug,95,2,-1,0,no
38,admin.,divorced,secondary,no,156,yes,no,unknown,17,jun,544,3,-1,0,no
24,student,single,unknown,no,3298,yes,no,unknown,28,may,227,1,-1,0,no
58,retired,married,secondary,no,764,no,no,cellular,12,aug,219,4,-1,0,no
56,housemaid,married,tertiary,no,1922,yes,no,cellular,24,jul,247,2,-1,0,no
77,retired,married,primary,no,680,no,no,telephone,27,nov,341,4,94,3,no
60,housemaid,married,primary,no,0,no,yes,telephone,22,jul,124,1,-1,0,no
32,blue-collar,married,secondary,no,3514,yes,no,unknown,20,may,226,2,-1,0,no
33,services,married,primary,no,0,yes,no,cellular,18,jul,351,2,-1,0,no
37,technician,married,tertiary,no,6968,no,no,cellular,1,jun,175,1,-1,0,no
76,retired,divorced,primary,no,86,no,no,cellular,12,aug,192,1,-1,0,no
39,services,married,secondary,no,186,yes,no,cellular,17,apr,433,1,-1,0,no
28,management,single,unknown,no,81,no,yes,cellular,8,jul,158,1,-1,0,no
33,services,married,primary,no,6904,no,no,telephone,20,nov,114,2,-1,0,no
59,management,divorced,primary,no,133,yes,no,cellular,9,jul,206,1,-1,0,no
28,technician,single,tertiary,no,356,no,no,cellular,2,mar,76,2,-1,0,no
40,management,married,tertiary,no,1217,yes,yes,cellular,18,nov,155,1,-1,0,no
49,retired,married,primary,no,1672,no,no,cellular,17,jul,128,3,-1,0,no
48,technician,married,tertiary,no,9207,no,no,cellular,18,aug,445,3,-1,0,no
27,technician,single,tertiary,no,808,yes,no,cellular,15,may,578,1,364,1,no
32,technician,divorced,secondary,no,202,yes,no,cellular,4,feb,429,1,201,1,no
58,blue-collar,married,secondary,no,590,no,yes,unknown,5,jun,133,1,-1,0,no
57,admin.,married,secondary,no,367,no,no,telephone,16,nov,107,2,-1,0,no
36,management,married,tertiary,no,1477,no,no,cellular,7,aug,71,2,-1,0,no
45,admin.,married,secondary,no,295,yes,no,cellular,23,jul,92,1,-1,0,no
45,blue-collar,married,primary,no,2128,yes,no,unknown,19,may,149,4,-1,0,no
58,management,married,tertiary,no,16264,no,no,telephone,17,nov,215,3,-1,0,no
30,blue-collar,single,primary,no,71,yes,no,unknown,19,may,122,6,-1,0,no
35,self-employed,married,tertiary,no,980,no,no,cellular,2,aug,428,2,336,6,no
37,management,divorced,secondary,no,1287,yes,no,cellular,14,may,432,1,-1,0,no
36,services,married,primary,no,179,no,no,unknown,9,jun,411,1,-1,0,no
48,management,single,secondary,no,290,yes,no,cellular,21,jul,257,2,-1,0,no
30,blue-collar,single,secondary,no,178,yes,no,unknown,20,may,747,5,-1,0,no
41,student,married,secondary,no,1309,no,no,unknown,20,jun,28,4,-1,0,no
52,services,divorced,secondary,no,238,yes,no,cellular,6,may,101,1,362,5,no
33,management,divorced,tertiary,no,0,yes,yes,cellular,19,aug,275,8,-1,0,no
28,technician,single,secondary,no,618,yes,no,cellular,7,may,281,1,-1,0,no
28,student,single,secondary,no,0,yes,no,unknown,15,may,133,3,-1,0,no
49,management,married,secondary,no,362,yes,no,unknown,4,jun,84,2,-1,0,no
38,services,married,secondary,no,0,yes,no,telephone,28,jul,121,2,-1,0,no
45,admin.,married,primary,no,542,no,no,cellular,11,may,8,5,350,3,no
55,blue-collar,married,primary,no,284,no,yes,telephone,14,jul,252,4,-1,0,no
31,admin.,single,secondary,no,1588,yes,no,unknown,3,jun,14,1,-1,0,no
35,management,married,tertiary,no,24,yes,no,cellular,8,apr,169,1,231,2,no
36,management,single,tertiary,no,613,no,no,cellular,7,aug,86,2,-1,0,no
32,blue-collar,married,primary,no,66,no,no,cellular,19,nov,244,1,-1,0,no
58,blue-collar,divorced,secondary,no,314,no,no,unknown,25,jun,67,2,-1,0,no
39,admin.,single,tertiary,no,2600,yes,no,unknown,17,jun,77,1,-1,0,no
39,blue-collar,married,unknown,no,157,yes,no,unknown,30,may,99,6,-1,0,no
40,admin.,married,secondary,no,1327,yes,yes,unknown,26,may,76,2,-1,0,no
60,blue-collar,married,secondary,no,1801,no,no,telephone,29,oct,167,1,-1,0,no
60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,no
33,technician,single,secondary,no,1279,yes,no,cellular,18,may,239,2,349,3,no
31,blue-collar,single,tertiary,no,2197,yes,no,unknown,23,may,146,3,-1,0,no
49,management,married,secondary,no,321,no,no,unknown,9,jun,135,3,-1,0,no
44,blue-collar,married,secondary,no,788,yes,no,cellular,17,apr,392,1,-1,0,no
55,retired,married,secondary,no,1467,no,yes,cellular,29,jul,277,2,-1,0,no
44,services,single,secondary,no,5045,yes,no,cellular,21,nov,20,6,175,15,no
37,blue-collar,divorced,secondary,no,48,yes,no,unknown,8,may,133,2,-1,0,no
55,management,married,tertiary,no,2366,yes,yes,cellular,30,jul,94,4,-1,0,no
34,technician,single,secondary,no,347,yes,no,cellular,6,feb,154,2,197,6,no
34,entrepreneur,married,tertiary,no,475,yes,yes,cellular,9,jul,1156,1,-1,0,no
39,blue-collar,married,primary,no,800,yes,no,cellular,19,nov,76,6,-1,0,no
45,entrepreneur,married,secondary,no,128,no,yes,cellular,18,nov,275,2,-1,0,no
36,blue-collar,married,secondary,no,1587,yes,no,cellular,28,jul,200,2,-1,0,no
47,blue-collar,married,secondary,no,3285,no,no,cellular,31,jul,248,5,-1,0,no
33,blue-collar,married,primary,no,925,no,no,cellular,20,nov,884,3,-1,0,no
43,entrepreneur,married,tertiary,no,210,no,no,cellular,29,jul,646,2,-1,0,no
34,blue-collar,married,secondary,no,518,yes,no,cellular,11,may,206,1,-1,0,no
55,retired,married,secondary,no,168,no,no,cellular,19,aug,79,2,-1,0,no
34,management,single,tertiary,no,318,yes,no,unknown,9,may,133,2,-1,0,no
55,services,married,secondary,no,-31,no,yes,cellular,13,aug,81,2,-1,0,no
34,blue-collar,married,secondary,no,856,yes,no,cellular,20,apr,470,1,150,5,no
46,management,married,tertiary,no,523,yes,no,cellular,6,may,105,4,366,2,no
38,blue-collar,married,secondary,no,376,yes,no,unknown,7,may,1521,1,-1,0,no
53,blue-collar,married,secondary,no,427,no,yes,cellular,14,aug,360,4,-1,0,no
58,management,married,tertiary,no,2764,no,no,cellular,17,nov,235,1,-1,0,no
38,technician,married,secondary,no,994,no,no,unknown,9,jun,119,1,-1,0,no
37,services,married,primary,no,52,yes,no,unknown,7,may,359,1,-1,0,no
56,retired,married,secondary,no,3948,no,no,cellular,3,apr,484,1,135,3,no
52,services,single,secondary,no,1810,no,no,telephone,19,nov,117,1,-1,0,no
53,blue-collar,married,primary,no,1868,no,no,cellular,8,aug,156,4,-1,0,no
41,unemployed,married,primary,no,819,no,no,cellular,9,feb,244,3,-1,0,no
59,technician,divorced,secondary,no,879,yes,no,unknown,26,may,228,1,-1,0,no
32,blue-collar,married,secondary,no,736,yes,no,unknown,23,may,700,3,-1,0,no
28,management,single,tertiary,no,224,yes,no,cellular,2,feb,97,3,-1,0,no
45,blue-collar,married,secondary,no,4646,yes,no,unknown,13,may,118,1,-1,0,no
60,self-employed,single,secondary,no,27,no,no,cellular,22,aug,40,2,-1,0,no
52,technician,married,secondary,no,11,yes,no,unknown,13,may,420,1,-1,0,no
55,unemployed,married,tertiary,no,4809,yes,no,cellular,21,nov,223,2,186,3,no
49,services,married,secondary,no,2201,yes,no,unknown,15,may,233,3,-1,0,no
32,technician,divorced,secondary,no,-399,yes,no,unknown,2,jun,180,1,-1,0,no
29,services,married,primary,no,-102,no,no,unknown,4,jul,134,1,-1,0,no
40,blue-collar,married,primary,no,1397,yes,no,telephone,12,may,58,2,334,1,no
32,admin.,single,secondary,no,92,yes,no,cellular,18,may,110,1,315,2,no
49,management,divorced,tertiary,no,1904,no,yes,cellular,17,nov,131,2,-1,0,no
38,management,single,tertiary,no,16957,yes,no,telephone,29,jan,208,1,247,2,no
37,blue-collar,married,secondary,no,342,yes,no,cellular,12,may,340,2,175,1,no
36,blue-collar,single,tertiary,no,1830,no,no,cellular,14,oct,183,1,91,11,no
44,management,married,tertiary,no,332,yes,no,cellular,23,jul,497,5,-1,0,no
39,management,divorced,tertiary,no,26,no,no,unknown,18,jun,311,5,-1,0,no
34,admin.,married,secondary,no,79,yes,no,unknown,23,may,83,1,-1,0,no
30,services,single,secondary,no,334,no,no,cellular,29,jan,389,2,-1,0,no
40,housemaid,married,secondary,no,4610,no,no,cellular,14,aug,154,2,-1,0,no
46,blue-collar,married,primary,no,1429,yes,no,unknown,14,may,91,1,-1,0,no
38,technician,married,secondary,no,4030,yes,no,cellular,19,nov,75,2,177,5,no
56,housemaid,married,primary,no,306,no,yes,cellular,8,jul,212,1,-1,0,no
23,services,single,secondary,no,500,yes,no,unknown,4,jun,111,3,-1,0,no
29,technician,married,tertiary,no,43,yes,no,unknown,20,may,68,2,-1,0,no
43,blue-collar,married,primary,no,232,no,yes,cellular,15,may,45,1,-1,0,no
35,management,single,secondary,no,81,yes,no,cellular,29,jan,79,1,-1,0,no
53,entrepreneur,married,unknown,no,7,no,no,cellular,20,nov,68,1,-1,0,no
53,technician,married,tertiary,no,3177,no,no,cellular,8,aug,92,2,-1,0,no
31,technician,single,unknown,no,187,no,no,cellular,17,jul,86,1,-1,0,no
